	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Somewhat	36	39	32	39	39	35%	35%	41%	42%
Not much	8	10	9	12	8	13%	1%	11%	5%
Not at all	3	3	3	4	2	1%	1%	5%	2%
Don't know 	5	4	3	5	2	6%	1%	4%	1%
Q13_8. Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default									
A lot	31	33	33	33	34	26%	50%	30%	44%
Somewhat	37	42	37	40	45	43%	38%	43%	40%
Not much	14	14	14	15	14	20%	5%	15%	9%
Not at all	7	5	6	5	5	3%	5%	7%	4%
Don't know 	11	5	11	7	3	8%	1%	5%	3%
Q13_9. Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students									
A lot	38	40	43	38	42	37%	56%	35%	48%
Somewhat	37	38	35	36	40	40%	37%	37%	38%
Not much	11	12	11	14	10	13%	6%	15%	9%
Not at all	5	4	4	5	4	4%	1%	6%	4%
Don't know 	9	4	7	7	3	7%	1%	6%	2%
Q13_10. Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major									
A lot	36	35	38	30	41	31%	48%	31%	45%
Somewhat	41	40	38	39	40	42%	43%	38%	38%
Not much	11	15	11	17	13	16%	3%	19%	10%
Not at all	3	4	4	4	4	3%	1%	5%	5%
Don't know 	8	7	9	10	3	8%	6%	7%	3%
Q13_11. Reduce the total number of credits required for a degree to make it easier for students to graduate quicker									
A lot	28	31	32	31	31	28%	39%	28%	41%
Somewhat	33	39	35	40	38	35%	43%	40%	42%
Not much	20	19	17	16	22	25%	12%	19%	12%
Not at all	10	6	10	5	6	6%	1%	8%	3%
Don't know 	8	5	6	7	2	7%	5%	5%	2%
Q14. To what extent do you trust each of the following to help make college a better investment for Americans?									
Q14_1. The federal government									
A lot	19	23	18	21	26	17%	28%	24%	28%
Somewhat	28	31	26	29	33	32%	22%	32%	35%
A little	22	21	25	20	21	24%	17%	22%	14%
Not at all	24	20	24	23	16	22%	27%	17%	19%
